Sr,Date,month,year,Index,Open,High,Low,Close,Volume,Adjusted,RSI,pSAR
1342,30-04-2012,Apr,2012,TM,82.050003,82.050003,81.370003,81.779999,357000,72.495277,49.54,269.90873
1343,01-05-2012,May,2012,TM,79.540001,80.559998,79.540001,80.150002,545600,71.050323,#N/A,267.44521
1344,02-05-2012,May,2012,TM,79.599998,80.089996,79.339996,79.849998,317400,70.784393,48.67,263.89759
1345,03-05-2012,May,2012,TM,79.809998,79.830002,79.18,79.220001,389500,70.225914,44.03,259.45783
1346,04-05-2012,May,2012,TM,78.769997,78.830002,78.389999,78.629997,595400,69.702896,36.52,255.46205
1347,07-05-2012,May,2012,TM,78.239998,78.849998,78.059998,78.690002,252000,69.756088,39.5,251.86585
1348,08-05-2012,May,2012,TM,78.099998,78.290001,77.400002,78.169998,437700,69.295128,32.59,248.62926
1349,09-05-2012,May,2012,TM,79.18,80.989998,78.870003,80.550003,790900,71.404922,31.29,244.56375
1350,10-05-2012,May,2012,TM,80.260002,80.379997,79.68,79.730003,477600,70.678009,30.82,239.45883
1351,11-05-2012,May,2012,TM,81.040001,81.599998,80.650002,80.709999,448900,71.546745,28.89,228.39341
1352,14-05-2012,May,2012,TM,79.989998,80.199997,79.589996,79.699997,385700,70.651421,27.82,219.09847
1353,15-05-2012,May,2012,TM,78.919998,78.940002,78.150002,78.300003,429900,69.410362,32.31,211.29071
1354,16-05-2012,May,2012,TM,77.400002,77.699997,76.620003,76.720001,563100,68.009743,27.81,204.7322
1355,17-05-2012,May,2012,TM,77.519997,77.82,77.139999,77.209999,881500,68.444115,29.31,199.22305
1356,18-05-2012,May,2012,TM,76.849998,77.010002,75.870003,76.059998,365900,67.42469,32.01,194.59536
1357,21-05-2012,May,2012,TM,75.769997,76.790001,75.739998,76.699997,566800,67.99202,33.88,190.7081
1358,22-05-2012,May,2012,TM,77.419998,77.93,76.849998,77.220001,282000,68.45298,31.01,187.8
1359,23-05-2012,May,2012,TM,77.18,77.279999,76.269997,77.25,241000,68.479561,29.55,184.605
1360,24-05-2012,May,2012,TM,77.25,77.489998,76.739998,77.199997,358800,68.435257,40.09,181.594
1361,25-05-2012,May,2012,TM,77.019997,77.139999,76.610001,76.800003,199600,68.080666,40.01,179.0752
1362,29-05-2012,May,2012,TM,77.089996,77.650002,76.699997,77.050003,435100,68.302292,47.45,176.18016
1363,30-05-2012,May,2012,TM,76.559998,76.879997,76.279999,76.339996,489300,67.672905,43.9,164.60001
1364,31-05-2012,May,2012,TM,76.889999,77.239998,76.43,76.889999,294800,68.160439,41.64,164.83801
1365,01-06-2012,Jun,2012,TM,75.849998,76.160004,74.75,74.809998,574900,66.316605,35.51,165.50449
1366,04-06-2012,Jun,2012,TM,74.730003,74.75,73.900002,74.620003,584400,66.14817,36.31,166.14431
1367,05-06-2012,Jun,2012,TM,74.559998,75.220001,74.440002,75.010002,247500,66.493896,38.22,167.33865
1368,06-06-2012,Jun,2012,TM,76.019997,76.889999,76,76.870003,397300,68.142731,51.93,169.29956
1369,07-06-2012,Jun,2012,TM,77.519997,77.650002,76.68,76.830002,225500,68.107269,56.06,171.10359
1370,08-06-2012,Jun,2012,TM,76.019997,76.589996,75.660004,76.510002,271200,67.823593,57.45,173.98823
1371,11-06-2012,Jun,2012,TM,76.779999,76.830002,75.57,75.589996,282200,67.008034,55.99,176.58441
1372,12-06-2012,Jun,2012,TM,76.199997,76.57,75.75,76.489998,140900,67.805862,60.67,179.48428
1373,13-06-2012,Jun,2012,TM,76.419998,76.699997,75.949997,76.139999,259600,67.495605,61.07,200.75
1374,14-06-2012,Jun,2012,TM,75.830002,76.160004,75.480003,76.029999,223300,67.398087,53.96,200.302
